,label,youtube_id,time_start,time_end,split,is_cc,video_name
0,abseiling,pF2JgvHZrOs,40,50,train,0,pF2JgvHZrOs_000040_000050.mp4
1,abseiling,0N3Jb5UHg8Y,68,78,train,0,0N3Jb5UHg8Y_000068_000078.mp4
2,abseiling,rJ9bFFtMGMM,4,14,train,0,rJ9bFFtMGMM_000004_000014.mp4
3,abseiling,IhrIfQbdjiM,7,17,train,0,IhrIfQbdjiM_000007_000017.mp4
4,abseiling,yBEJ_4e1-7M,5,15,train,0,yBEJ_4e1-7M_000005_000015.mp4
5,abseiling,EENhxyHcpYM,162,172,train,0,EENhxyHcpYM_000162_000172.mp4
6,abseiling,Aj-fFZx-GLw,172,182,train,0,Aj-fFZx-GLw_000172_000182.mp4
7,abseiling,DYM59HPH9-s,28,38,train,0,DYM59HPH9-s_000028_000038.mp4
8,abseiling,SBEN9in3HZk,3,13,train,1,SBEN9in3HZk_000003_000013.mp4
9,abseiling,m8Pm5kmCuqI,64,74,train,0,m8Pm5kmCuqI_000064_000074.mp4
10,abseiling,Anmq_WzU_Uk,31,41,train,0,Anmq_WzU_Uk_000031_000041.mp4
11,abseiling,zQ8G8D52KG8,38,48,train,0,zQ8G8D52KG8_000038_000048.mp4
12,abseiling,WfTEnPj3R_E,10,20,train,0,WfTEnPj3R_E_000010_000020.mp4
13,abseiling,9kja4yMINUI,152,162,train,0,9kja4yMINUI_000152_000162.mp4
14,abseiling,dxiQHHuWisA,96,106,train,0,dxiQHHuWisA_000096_000106.mp4
15,abseiling,ym-44usN7Ec,16,26,train,0,ym-44usN7Ec_000016_000026.mp4
16,abseiling,RMdk187QnSI,0,10,train,0,RMdk187QnSI_000000_000010.mp4
17,abseiling,MIIbU2xZcUY,32,42,train,0,MIIbU2xZcUY_000032_000042.mp4
18,abseiling,ccvR-ZtPIGs,263,273,train,0,ccvR-ZtPIGs_000263_000273.mp4
19,abseiling,AWp3-Ai1atM,59,69,train,0,AWp3-Ai1atM_000059_000069.mp4
20,abseiling,SiqHAo-wcZE,448,458,train,0,SiqHAo-wcZE_000448_000458.mp4
21,abseiling,RjZzuSL5Vx4,174,184,train,0,RjZzuSL5Vx4_000174_000184.mp4
22,abseiling,NlLzuNVGl8U,40,50,train,0,NlLzuNVGl8U_000040_000050.mp4
23,abseiling,WdztC_jCzwE,65,75,train,0,WdztC_jCzwE_000065_000075.mp4
24,abseiling,r-E5RfA3u38,86,96,train,0,r-E5RfA3u38_000086_000096.mp4
25,abseiling,jMtc0jRpyW8,266,276,train,0,jMtc0jRpyW8_000266_000276.mp4
26,abseiling,kCo-xhw3l_k,221,231,train,0,kCo-xhw3l_k_000221_000231.mp4
27,abseiling,IRX7GTz-89Y,86,96,train,0,IRX7GTz-89Y_000086_000096.mp4
28,abseiling,1g7n_PZzkmg,0,10,train,1,1g7n_PZzkmg_000000_000010.mp4
29,abseiling,Lj6Or6lVccA,109,119,train,0,Lj6Or6lVccA_000109_000119.mp4
30,abseiling,0ULNkPOufBU,60,70,train,0,0ULNkPOufBU_000060_000070.mp4
31,abseiling,-Cv3NwxG_8g,87,97,train,0,-Cv3NwxG_8g_000087_000097.mp4
32,abseiling,jOMaBGcMSqU,6,16,train,1,jOMaBGcMSqU_000006_000016.mp4
33,abseiling,7Ni_HDZv5jc,27,37,train,0,7Ni_HDZv5jc_000027_000037.mp4
34,abseiling,ETTyuQC9TIA,74,84,train,0,ETTyuQC9TIA_000074_000084.mp4
35,abseiling,6WkO9nj7He0,0,10,train,0,6WkO9nj7He0_000000_000010.mp4
36,abseiling,cTAs-juKIB8,33,43,train,0,cTAs-juKIB8_000033_000043.mp4
37,abseiling,-3B32lodo2M,59,69,train,0,-3B32lodo2M_000059_000069.mp4
38,abseiling,N59hvIvRJI4,34,44,train,0,N59hvIvRJI4_000034_000044.mp4
39,abseiling,DF2thKxXqvc,95,105,train,0,DF2thKxXqvc_000095_000105.mp4
40,abseiling,HgOdrOn-dmQ,0,10,train,0,HgOdrOn-dmQ_000000_000010.mp4
41,abseiling,GCzM_sZZvIA,66,76,train,0,GCzM_sZZvIA_000066_000076.mp4
42,abseiling,ck7GOaenxn0,2,12,train,0,ck7GOaenxn0_000002_000012.mp4
43,abseiling,VRNVK63tAlw,9,19,train,0,VRNVK63tAlw_000009_000019.mp4
44,abseiling,CbMeI-XvDHM,29,39,train,0,CbMeI-XvDHM_000029_000039.mp4
45,abseiling,M1QFHoC4o3A,78,88,train,0,M1QFHoC4o3A_000078_000088.mp4
46,abseiling,yIcLV9OmzFM,50,60,train,0,yIcLV9OmzFM_000050_000060.mp4
47,abseiling,oYUaByKM_IU,32,42,train,0,oYUaByKM_IU_000032_000042.mp4
48,abseiling,IcXVFyYx8Gk,494,504,train,0,IcXVFyYx8Gk_000494_000504.mp4
49,abseiling,e_Q667WGYr0,134,144,train,0,e_Q667WGYr0_000134_000144.mp4
50,abseiling,adb9uBF8pec,173,183,train,0,adb9uBF8pec_000173_000183.mp4
51,abseiling,u8Y0WHT1gA0,264,274,train,0,u8Y0WHT1gA0_000264_000274.mp4
52,abseiling,3L60SisVlbI,33,43,train,0,3L60SisVlbI_000033_000043.mp4
53,abseiling,_SSkUUyN_zA,58,68,train,0,_SSkUUyN_zA_000058_000068.mp4
54,abseiling,qRIHnfR-gRg,3,13,train,0,qRIHnfR-gRg_000003_000013.mp4
55,abseiling,DFcDhzpdxL0,34,44,train,0,DFcDhzpdxL0_000034_000044.mp4
56,abseiling,WA-2n5prapE,146,156,train,0,WA-2n5prapE_000146_000156.mp4
57,abseiling,ONXQoDifCLc,50,60,train,0,ONXQoDifCLc_000050_000060.mp4
58,abseiling,CRhya73Txgo,172,182,train,0,CRhya73Txgo_000172_000182.mp4
59,abseiling,dvEr9R6qkuQ,26,36,train,0,dvEr9R6qkuQ_000026_000036.mp4
60,abseiling,yU6JaF6naV8,68,78,train,0,yU6JaF6naV8_000068_000078.mp4
61,abseiling,alc3JF6C4uE,163,173,train,0,alc3JF6C4uE_000163_000173.mp4
62,abseiling,qDkfOLCioGs,36,46,train,0,qDkfOLCioGs_000036_000046.mp4
63,abseiling,zwP5sOfoX2E,715,725,train,0,zwP5sOfoX2E_000715_000725.mp4
64,abseiling,xXEG-3fhGgE,113,123,train,1,xXEG-3fhGgE_000113_000123.mp4
65,abseiling,p_Kg9tMqbeo,0,10,train,0,p_Kg9tMqbeo_000000_000010.mp4
66,abseiling,e_GLdSERefQ,181,191,train,0,e_GLdSERefQ_000181_000191.mp4
67,abseiling,XDHoXdm01Bo,70,80,train,0,XDHoXdm01Bo_000070_000080.mp4
68,abseiling,Z1dAQvR4hSc,140,150,train,0,Z1dAQvR4hSc_000140_000150.mp4
69,abseiling,yWVraWYKJeE,218,228,train,0,yWVraWYKJeE_000218_000228.mp4
70,abseiling,JFDSGdxTNTY,145,155,train,0,JFDSGdxTNTY_000145_000155.mp4
71,abseiling,p6F0rA7G1qs,517,527,train,0,p6F0rA7G1qs_000517_000527.mp4
72,abseiling,0UD6OoOFwqc,78,88,train,0,0UD6OoOFwqc_000078_000088.mp4
73,abseiling,K2b-mOPWebA,205,215,train,0,K2b-mOPWebA_000205_000215.mp4
74,abseiling,2lujXIXQIg0,52,62,train,0,2lujXIXQIg0_000052_000062.mp4
75,abseiling,1Qj6Mu_CpnM,42,52,train,0,1Qj6Mu_CpnM_000042_000052.mp4
76,abseiling,Dgm4OV7de_E,11,21,train,0,Dgm4OV7de_E_000011_000021.mp4
77,abseiling,VboZ8QFvHjI,120,130,train,0,VboZ8QFvHjI_000120_000130.mp4
78,abseiling,eTKXXDATOLc,32,42,train,0,eTKXXDATOLc_000032_000042.mp4
79,abseiling,pdW_enWrcgg,61,71,train,0,pdW_enWrcgg_000061_000071.mp4
80,abseiling,s8VPmwPCF_g,200,210,train,0,s8VPmwPCF_g_000200_000210.mp4
81,abseiling,CWcpEGayCQ0,93,103,train,0,CWcpEGayCQ0_000093_000103.mp4
82,abseiling,tZ-stwBG2rI,0,10,train,0,tZ-stwBG2rI_000000_000010.mp4
83,abseiling,XR6z4XA6myY,137,147,train,0,XR6z4XA6myY_000137_000147.mp4
84,abseiling,DPUdSrSqPX4,23,33,train,0,DPUdSrSqPX4_000023_000033.mp4
85,abseiling,wfY4v2WKP8I,174,184,train,0,wfY4v2WKP8I_000174_000184.mp4
86,abseiling,AmWB0g4snxQ,2,12,train,0,AmWB0g4snxQ_000002_000012.mp4
87,abseiling,F-Zg30cS_pw,3,13,train,0,F-Zg30cS_pw_000003_000013.mp4
88,abseiling,Fgx_XsxBl90,2,12,train,0,Fgx_XsxBl90_000002_000012.mp4
89,abseiling,xZv3db2l-PQ,38,48,train,0,xZv3db2l-PQ_000038_000048.mp4
90,abseiling,YTJdurXZYZY,399,409,train,0,YTJdurXZYZY_000399_000409.mp4
91,abseiling,wcRuXrduj6Q,96,106,train,0,wcRuXrduj6Q_000096_000106.mp4
92,abseiling,3VqrHekUnOE,141,151,train,0,3VqrHekUnOE_000141_000151.mp4
93,abseiling,MP-Op52e84g,176,186,train,0,MP-Op52e84g_000176_000186.mp4
94,abseiling,-tAjeaPhi5s,26,36,train,0,-tAjeaPhi5s_000026_000036.mp4
95,abseiling,BS-5QaLOuy4,73,83,train,0,BS-5QaLOuy4_000073_000083.mp4
96,abseiling,XAZtRAEQzcY,151,161,train,0,XAZtRAEQzcY_000151_000161.mp4
97,abseiling,p0hOw3YslaM,13,23,train,0,p0hOw3YslaM_000013_000023.mp4
98,abseiling,yGA9OkTvvVM,65,75,train,0,yGA9OkTvvVM_000065_000075.mp4
99,abseiling,eNHiZLc3-TY,33,43,train,0,eNHiZLc3-TY_000033_000043.mp4
100,bending back,imzC-uAFf7Q,1,11,train,0,imzC-uAFf7Q_000001_000011.mp4
101,bending back,DurVrW5Xm1k,14,24,train,0,DurVrW5Xm1k_000014_000024.mp4
102,bending back,OugPHL-GwLQ,7,17,train,0,OugPHL-GwLQ_000007_000017.mp4
103,bending back,3MLeZTVs5Ro,1,11,train,0,3MLeZTVs5Ro_000001_000011.mp4
104,bending back,9yqIcYGJg8I,52,62,train,0,9yqIcYGJg8I_000052_000062.mp4
105,bending back,G0c6gkdadHc,63,73,train,0,G0c6gkdadHc_000063_000073.mp4
106,bending back,a64ut4Nnm8U,12,22,train,0,a64ut4Nnm8U_000012_000022.mp4
107,bending back,5ZAGxs_bHeA,0,10,train,0,5ZAGxs_bHeA_000000_000010.mp4
108,bending back,PSBq3whyBXs,75,85,train,0,PSBq3whyBXs_000075_000085.mp4
109,bending back,k2v-ukAnCog,46,56,train,0,k2v-ukAnCog_000046_000056.mp4
110,bending back,apTNX8Jhqg4,3,13,train,0,apTNX8Jhqg4_000003_000013.mp4
111,bending back,5OYW6z7Yp8Y,122,132,train,0,5OYW6z7Yp8Y_000122_000132.mp4
112,bending back,JGLN1Ei3OQc,75,85,train,0,JGLN1Ei3OQc_000075_000085.mp4
113,bending back,fN9WEnBJ62c,234,244,train,0,fN9WEnBJ62c_000234_000244.mp4
114,bending back,VxqK5L6SXYs,1,11,train,0,VxqK5L6SXYs_000001_000011.mp4
115,bending back,QCtgEMtjfLY,8,18,train,0,QCtgEMtjfLY_000008_000018.mp4
116,bending back,zqC6BkNSXmk,41,51,train,0,zqC6BkNSXmk_000041_000051.mp4
117,bending back,JAuc_kkiY04,29,39,train,0,JAuc_kkiY04_000029_000039.mp4
118,bending back,6KQr3q5Z22g,67,77,train,0,6KQr3q5Z22g_000067_000077.mp4
119,bending back,7jq5qEyU9r0,13,23,train,0,7jq5qEyU9r0_000013_000023.mp4
120,bending back,4rO5aUB7hjY,24,34,train,0,4rO5aUB7hjY_000024_000034.mp4
121,bending back,4M-IhhcgQ54,4,14,train,0,4M-IhhcgQ54_000004_000014.mp4
122,bending back,VRVL932h00M,64,74,train,0,VRVL932h00M_000064_000074.mp4
123,bending back,tYH9rarBLH8,28,38,train,0,tYH9rarBLH8_000028_000038.mp4
124,bending back,VVMbTaGdw2I,3,13,train,0,VVMbTaGdw2I_000003_000013.mp4
125,bending back,IThllNDTA3E,5,15,train,0,IThllNDTA3E_000005_000015.mp4
126,bending back,gzqoktBJkqg,1,11,train,0,gzqoktBJkqg_000001_000011.mp4
127,bending back,eZ4T1P8O7Ok,4,14,train,0,eZ4T1P8O7Ok_000004_000014.mp4
128,bending back,bu8MZIX9TDw,5,15,train,0,bu8MZIX9TDw_000005_000015.mp4
129,bending back,YK2v8fukmEQ,23,33,train,0,YK2v8fukmEQ_000023_000033.mp4
130,bending back,y1TAvnvqOPc,50,60,train,0,y1TAvnvqOPc_000050_000060.mp4
131,bending back,0mfa5ahuDII,1,11,train,0,0mfa5ahuDII_000001_000011.mp4
132,bending back,kOebJzMGEQw,34,44,train,0,kOebJzMGEQw_000034_000044.mp4
133,bending back,lcBdaXopxwM,1,11,train,0,lcBdaXopxwM_000001_000011.mp4
134,bending back,SOZZPt2FZ1E,34,44,train,0,SOZZPt2FZ1E_000034_000044.mp4
135,bending back,xOnq7eVibAE,4,14,train,0,xOnq7eVibAE_000004_000014.mp4
136,bending back,nEq_CRANO_0,16,26,train,0,nEq_CRANO_0_000016_000026.mp4
137,bending back,09g900aR8o8,50,60,train,0,09g900aR8o8_000050_000060.mp4
138,bending back,GD5Y4gRfFmE,93,103,train,0,GD5Y4gRfFmE_000093_000103.mp4
139,bending back,a-UD_35cPpI,2,12,train,0,a-UD_35cPpI_000002_000012.mp4
140,bending back,hovMp9S1cEI,50,60,train,0,hovMp9S1cEI_000050_000060.mp4
141,bending back,rzI4OlBX5L0,9,19,train,0,rzI4OlBX5L0_000009_000019.mp4
142,bending back,bbX9_KlT57g,154,164,train,0,bbX9_KlT57g_000154_000164.mp4
143,bending back,YykdXRRNLuA,65,75,train,0,YykdXRRNLuA_000065_000075.mp4
144,bending back,G6jOtoX0Ukg,20,30,train,0,G6jOtoX0Ukg_000020_000030.mp4
145,bending back,OtdNArf9yto,3,13,train,0,OtdNArf9yto_000003_000013.mp4
146,bending back,yRWJRS_Te5k,34,44,train,0,yRWJRS_Te5k_000034_000044.mp4
147,bending back,KZwoncEbD10,102,112,train,0,KZwoncEbD10_000102_000112.mp4
148,bungee jumping,Dy4scBhLOb4,41,51,train,0,Dy4scBhLOb4_000041_000051.mp4
149,bungee jumping,SMq1iTSpOE4,165,175,train,0,SMq1iTSpOE4_000165_000175.mp4
150,bungee jumping,it6u7cgy_Ps,319,329,train,0,it6u7cgy_Ps_000319_000329.mp4
151,bungee jumping,J_kjKmGKNRs,213,223,train,0,J_kjKmGKNRs_000213_000223.mp4
152,bungee jumping,c9LNLQicBFY,4,14,train,0,c9LNLQicBFY_000004_000014.mp4
153,bungee jumping,siyuP-XnoDA,30,40,train,0,siyuP-XnoDA_000030_000040.mp4
154,bungee jumping,q55nmdFZdzE,67,77,train,0,q55nmdFZdzE_000067_000077.mp4
155,bungee jumping,iyT9zLaGqqA,201,211,train,0,iyT9zLaGqqA_000201_000211.mp4
156,bungee jumping,CgXLbduLpVs,9,19,train,0,CgXLbduLpVs_000009_000019.mp4
157,bungee jumping,mKUTUHJln64,8,18,train,1,mKUTUHJln64_000008_000018.mp4
158,bungee jumping,NeaqnfBWRtc,58,68,train,0,NeaqnfBWRtc_000058_000068.mp4
159,bungee jumping,nQ1PlKaR4P8,37,47,train,0,nQ1PlKaR4P8_000037_000047.mp4
160,bungee jumping,ivhoTl2JGmQ,4,14,train,0,ivhoTl2JGmQ_000004_000014.mp4
161,bungee jumping,RI5e4sQ1fG8,90,100,train,0,RI5e4sQ1fG8_000090_000100.mp4
162,bungee jumping,4MXjIFDN8yU,349,359,train,0,4MXjIFDN8yU_000349_000359.mp4
163,bungee jumping,zN6g5CoFijc,1,11,train,0,zN6g5CoFijc_000001_000011.mp4
164,bungee jumping,evF1JTnxqWk,17,27,train,0,evF1JTnxqWk_000017_000027.mp4
165,bungee jumping,8970fSkf2E4,137,147,train,0,8970fSkf2E4_000137_000147.mp4
166,bungee jumping,3qbX122Ztig,15,25,train,1,3qbX122Ztig_000015_000025.mp4
167,bungee jumping,wbiJPJv7Hnw,22,32,train,0,wbiJPJv7Hnw_000022_000032.mp4
168,bungee jumping,znc1wFj5X2k,17,27,train,0,znc1wFj5X2k_000017_000027.mp4
169,bungee jumping,xj-g2NB0oZQ,1,11,train,0,xj-g2NB0oZQ_000001_000011.mp4
170,bungee jumping,rAL5RBVWFZQ,110,120,train,0,rAL5RBVWFZQ_000110_000120.mp4
171,bungee jumping,so1pCqYQcp8,44,54,train,0,so1pCqYQcp8_000044_000054.mp4
172,bungee jumping,gqBk1OvQTuw,113,123,train,1,gqBk1OvQTuw_000113_000123.mp4
173,bungee jumping,hFGeWK9hgpA,445,455,train,0,hFGeWK9hgpA_000445_000455.mp4
174,bungee jumping,pgUKlz2137c,86,96,train,0,pgUKlz2137c_000086_000096.mp4
175,bungee jumping,xrkWg2YW92Q,109,119,train,0,xrkWg2YW92Q_000109_000119.mp4
176,bungee jumping,IS7xq3yo-GA,27,37,train,0,IS7xq3yo-GA_000027_000037.mp4
177,bungee jumping,y8doJlc_0Zs,65,75,train,0,y8doJlc_0Zs_000065_000075.mp4
178,bungee jumping,Xf5jIaDqhxY,22,32,train,0,Xf5jIaDqhxY_000022_000032.mp4
179,bungee jumping,heZs6wvmahg,0,10,train,0,heZs6wvmahg_000000_000010.mp4
180,bungee jumping,ynCEd9uxMTA,20,30,train,0,ynCEd9uxMTA_000020_000030.mp4
181,bungee jumping,oVdOvpNFTJs,173,183,train,0,oVdOvpNFTJs_000173_000183.mp4
182,bungee jumping,NoXK8yOVA7g,10,20,train,0,NoXK8yOVA7g_000010_000020.mp4
183,bungee jumping,Mw7TsmtffnA,23,33,train,0,Mw7TsmtffnA_000023_000033.mp4
184,bungee jumping,x7sodxiZ_nw,44,54,train,0,x7sodxiZ_nw_000044_000054.mp4
185,bungee jumping,wlLMpJS2c8k,18,28,train,1,wlLMpJS2c8k_000018_000028.mp4
186,bungee jumping,tCg91EKO6Fo,35,45,train,0,tCg91EKO6Fo_000035_000045.mp4
187,bungee jumping,JVcJnRpiXek,2,12,train,0,JVcJnRpiXek_000002_000012.mp4
188,bungee jumping,oFvYeyn8Mfk,54,64,train,0,oFvYeyn8Mfk_000054_000064.mp4
189,bungee jumping,fe9ZPX7ZX4U,111,121,train,0,fe9ZPX7ZX4U_000111_000121.mp4
190,bungee jumping,7VcfCAvuHkA,108,118,train,0,7VcfCAvuHkA_000108_000118.mp4
191,bungee jumping,2tD8l9ifiNo,8,18,train,0,2tD8l9ifiNo_000008_000018.mp4
192,bungee jumping,2-KM_3XGJLs,106,116,train,0,2-KM_3XGJLs_000106_000116.mp4
193,bungee jumping,bQFwAse_Cr4,42,52,train,0,bQFwAse_Cr4_000042_000052.mp4
194,bungee jumping,rmX0g6qcX1s,109,119,train,0,rmX0g6qcX1s_000109_000119.mp4
195,bungee jumping,tBId_j7SmSs,214,224,train,0,tBId_j7SmSs_000214_000224.mp4
196,bungee jumping,heQi0IzwERs,30,40,train,0,heQi0IzwERs_000030_000040.mp4
197,bungee jumping,BLjlF1cUOfU,112,122,train,0,BLjlF1cUOfU_000112_000122.mp4
198,bungee jumping,zkW_60V5kNE,79,89,train,0,zkW_60V5kNE_000079_000089.mp4
199,bungee jumping,l-mywzEp3YI,52,62,train,0,l-mywzEp3YI_000052_000062.mp4
200,bungee jumping,Z5fhiki1P8g,4,14,train,0,Z5fhiki1P8g_000004_000014.mp4
201,bungee jumping,s1RW7j3fF0U,53,63,train,0,s1RW7j3fF0U_000053_000063.mp4
202,bungee jumping,cuCKxS6BXp8,86,96,train,0,cuCKxS6BXp8_000086_000096.mp4
203,bungee jumping,YSjrj89g4Zc,181,191,train,0,YSjrj89g4Zc_000181_000191.mp4
204,bungee jumping,BXleb_xQ8fI,10,20,train,0,BXleb_xQ8fI_000010_000020.mp4
205,bungee jumping,kluZMwzmmaE,262,272,train,0,kluZMwzmmaE_000262_000272.mp4
206,bungee jumping,s2Um02oFjys,0,10,train,0,s2Um02oFjys_000000_000010.mp4
207,bungee jumping,3smrXEWhQgg,47,57,train,0,3smrXEWhQgg_000047_000057.mp4
208,bungee jumping,fPsdGNl7NHA,71,81,train,0,fPsdGNl7NHA_000071_000081.mp4
209,bungee jumping,L9hxEDAcSyo,23,33,train,0,L9hxEDAcSyo_000023_000033.mp4
210,bungee jumping,HKPeOeEWj4I,77,87,train,0,HKPeOeEWj4I_000077_000087.mp4
211,bungee jumping,MVFx48oX00w,35,45,train,0,MVFx48oX00w_000035_000045.mp4
212,bungee jumping,8Rhakbgv3IY,43,53,train,0,8Rhakbgv3IY_000043_000053.mp4
213,bungee jumping,sDnYNZa3N0Y,35,45,train,0,sDnYNZa3N0Y_000035_000045.mp4
214,bungee jumping,n5WekhZjsAw,21,31,train,0,n5WekhZjsAw_000021_000031.mp4
215,bungee jumping,02Y60YYUqQk,71,81,train,1,02Y60YYUqQk_000071_000081.mp4
216,bungee jumping,PqFN5tux66M,41,51,train,0,PqFN5tux66M_000041_000051.mp4
217,bungee jumping,ejmWhNqcazo,37,47,train,0,ejmWhNqcazo_000037_000047.mp4
218,bungee jumping,fGI-Ad8smBY,2,12,train,0,fGI-Ad8smBY_000002_000012.mp4
219,bungee jumping,9bPu69JB8E8,4,14,train,0,9bPu69JB8E8_000004_000014.mp4
220,bungee jumping,b320GwMSaao,63,73,train,0,b320GwMSaao_000063_000073.mp4
221,bungee jumping,hXMV5XGAdds,135,145,train,0,hXMV5XGAdds_000135_000145.mp4
222,bungee jumping,g9UGtaGhIqs,11,21,train,0,g9UGtaGhIqs_000011_000021.mp4
223,bungee jumping,ZWFHCVwguqY,49,59,train,0,ZWFHCVwguqY_000049_000059.mp4
224,bungee jumping,Ip5lFzvJQIk,31,41,train,0,Ip5lFzvJQIk_000031_000041.mp4
225,bungee jumping,wgjHsBwzOPY,80,90,train,0,wgjHsBwzOPY_000080_000090.mp4
226,bungee jumping,O5UdYRJDPwM,38,48,train,0,O5UdYRJDPwM_000038_000048.mp4
227,bungee jumping,J6B-WJHlXag,472,482,train,0,J6B-WJHlXag_000472_000482.mp4
228,bungee jumping,5iMx19vvLvk,31,41,train,0,5iMx19vvLvk_000031_000041.mp4
229,bungee jumping,H-kpCQf4bcc,7,17,train,0,H-kpCQf4bcc_000007_000017.mp4
230,bungee jumping,yaoWPCTQHT8,4,14,train,0,yaoWPCTQHT8_000004_000014.mp4
231,bungee jumping,ExsyckAA1_o,35,45,train,0,ExsyckAA1_o_000035_000045.mp4
232,bungee jumping,9IYLIx6Qj6Q,26,36,train,0,9IYLIx6Qj6Q_000026_000036.mp4
233,bungee jumping,5H1VnOA4wfE,29,39,train,0,5H1VnOA4wfE_000029_000039.mp4
234,bungee jumping,9j3S7I9Db00,10,20,train,0,9j3S7I9Db00_000010_000020.mp4
235,bungee jumping,4xxX53yaDXI,3,13,train,0,4xxX53yaDXI_000003_000013.mp4
236,bungee jumping,TG63A90ZGH0,2,12,train,0,TG63A90ZGH0_000002_000012.mp4
237,bungee jumping,3-q0rHzmrOM,60,70,train,0,3-q0rHzmrOM_000060_000070.mp4
238,bungee jumping,YQQOdX3mysI,68,78,train,0,YQQOdX3mysI_000068_000078.mp4
239,cleaning floor,8wQEdMQhKE4,3,13,train,0,8wQEdMQhKE4_000003_000013.mp4
240,cleaning floor,IML84BTVu4I,2,12,train,0,IML84BTVu4I_000002_000012.mp4
241,cleaning floor,q0lFl1qIJOg,183,193,train,0,q0lFl1qIJOg_000183_000193.mp4
242,cleaning floor,LruvB5sNxWw,0,10,train,0,LruvB5sNxWw_000000_000010.mp4
243,cleaning floor,QXMcIHD8AQs,0,10,train,0,QXMcIHD8AQs_000000_000010.mp4
244,cleaning floor,7y5lOSQml8s,12,22,train,0,7y5lOSQml8s_000012_000022.mp4
245,cleaning floor,0Fh5H6AFHc0,8,18,train,0,0Fh5H6AFHc0_000008_000018.mp4
246,cleaning floor,pYhu1_1HAA4,277,287,train,0,pYhu1_1HAA4_000277_000287.mp4
247,cleaning floor,6bFHNHUuqeI,20,30,train,0,6bFHNHUuqeI_000020_000030.mp4
248,cleaning floor,OokOW1YjFXI,34,44,train,0,OokOW1YjFXI_000034_000044.mp4
249,cleaning floor,L1-Ei5aYlc4,131,141,train,0,L1-Ei5aYlc4_000131_000141.mp4
250,cleaning floor,FAfLfYyGhaA,17,27,train,0,FAfLfYyGhaA_000017_000027.mp4
251,cleaning floor,jh5BfUynveA,0,10,train,0,jh5BfUynveA_000000_000010.mp4
252,cleaning floor,AGmRgVcOLYA,61,71,train,0,AGmRgVcOLYA_000061_000071.mp4
253,cleaning floor,_C9RbOUuzEo,14,24,train,0,_C9RbOUuzEo_000014_000024.mp4
254,cleaning floor,0m4fNaZN_tI,30,40,train,0,0m4fNaZN_tI_000030_000040.mp4
255,cleaning floor,rxWjumLgG6g,0,10,train,0,rxWjumLgG6g_000000_000010.mp4
256,cleaning floor,2Hem_p2TpeQ,4,14,train,0,2Hem_p2TpeQ_000004_000014.mp4
257,cleaning floor,pk0pTijwu6E,63,73,train,0,pk0pTijwu6E_000063_000073.mp4
258,cleaning floor,2R_DQn0ojcc,3,13,train,0,2R_DQn0ojcc_000003_000013.mp4
259,cleaning floor,RrGYVhVNKCA,23,33,train,0,RrGYVhVNKCA_000023_000033.mp4
260,cleaning floor,X5joFn8pa3k,85,95,train,0,X5joFn8pa3k_000085_000095.mp4
261,cleaning floor,7RyjoBuDdcU,97,107,train,0,7RyjoBuDdcU_000097_000107.mp4
262,cleaning floor,Ju4fJVmqBsA,18,28,train,0,Ju4fJVmqBsA_000018_000028.mp4
263,cleaning floor,XWOdB5BhlBA,50,60,train,0,XWOdB5BhlBA_000050_000060.mp4
264,cleaning floor,gOkmbcadqVA,48,58,train,0,gOkmbcadqVA_000048_000058.mp4
265,cleaning floor,A5vzSJB9-rA,14,24,train,0,A5vzSJB9-rA_000014_000024.mp4
266,cleaning floor,iSIlEJ4gNFE,9,19,train,0,iSIlEJ4gNFE_000009_000019.mp4
267,cleaning floor,rYvd51opTOo,2,12,train,0,rYvd51opTOo_000002_000012.mp4
268,cleaning floor,I6WpCPsW8o8,43,53,train,0,I6WpCPsW8o8_000043_000053.mp4
269,cleaning floor,ugMHia2OVb4,5,15,train,0,ugMHia2OVb4_000005_000015.mp4
